AddNum,StPreDir,StName,StSuffix,Zip4,Name,geometry,longitude,latitude,jointadd
12103,W,HIGHLANDER,RD,83709,LaGrande,POINT (-116.333019733 43.55583676600003),-116.33301973299996,43.55583676600003,12103 W HIGHLANDER RD
4776,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330509351 43.55933407400005),-116.33050935099999,43.55933407400005,4776 S WHITMORE WAY
4792,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330284562 43.55919806200006),-116.33028456199997,43.559198062000064,4792 S WHITMORE WAY
4765,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.3308514779999 43.55919626900004),-116.33085147799994,43.55919626900004,4765 S WHITMORE WAY
4810,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330078511 43.55905046000004),-116.33007851099995,43.55905046000004,4810 S WHITMORE WAY
4777,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330650378 43.55907373500003),-116.33065037799997,43.55907373500003,4777 S WHITMORE WAY
4838,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.329892294 43.55890567900008),-116.32989229399999,43.55890567900008,4838 S WHITMORE WAY
4813,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330321956 43.55884961200007),-116.33032195599998,43.558849612000074,4813 S WHITMORE WAY
4856,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.329753816 43.55872345400007),-116.329753816,43.558723454000074,4856 S WHITMORE WAY
4857,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330129245 43.55865201100005),-116.33012924499997,43.55865201100005,4857 S WHITMORE WAY
4884,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.329759563 43.55853484700003),-116.32975956299998,43.55853484700003,4884 S WHITMORE WAY
4885,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330132559 43.55850626800003),-116.33013255899999,43.55850626800003,4885 S WHITMORE WAY
11988,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.331708599 43.55813354300005),-116.33170859899997,43.558133543000054,11988 W ROCKHAMPTON ST
11964,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.331480255 43.55811755800005),-116.33148025499997,43.55811755800005,11964 W ROCKHAMPTON ST
11942,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.331251865 43.55809866400006),-116.33125186499996,43.558098664000056,11942 W ROCKHAMPTON ST
11920,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.3310205289999 43.55806554900005),-116.33102052899994,43.55806554900005,11920 W ROCKHAMPTON ST
11912,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.330784767 43.55806400500006),-116.33078476699995,43.55806400500006,11912 W ROCKHAMPTON ST
11987,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.331770464 43.55786160000008),-116.33177046399999,43.55786160000008,11987 W ROCKHAMPTON ST
11965,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.331483609 43.55784202600006),-116.33148360899997,43.55784202600006,11965 W ROCKHAMPTON ST
11943,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.331209083 43.55782902900006),-116.33120908299998,43.55782902900006,11943 W ROCKHAMPTON ST
11921,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.330921269 43.55780768300008),-116.33092126899999,43.55780768300008,11921 W ROCKHAMPTON ST
11853,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.3301263929999 43.55784793400005),-116.33012639299994,43.55784793400005,11853 W ROCKHAMPTON ST
11899,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.330643058 43.55780344500005),-116.33064305799996,43.55780344500005,11899 W ROCKHAMPTON ST
11839,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.329834917 43.55783793000006),-116.32983491699997,43.55783793000006,11839 W ROCKHAMPTON ST
11815,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.329540698 43.55783668000004),-116.32954069799996,43.55783668000004,11815 W ROCKHAMPTON ST
11816,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.329631545 43.55806745300004),-116.32963154499998,43.558067453000035,11816 W ROCKHAMPTON ST
4754,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.3307300549999 43.55943718700007),-116.33073005499995,43.55943718700007,4754 S WHITMORE WAY
4902,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.329765197 43.55833628500005),-116.32976519699997,43.55833628500005,4902 S WHITMORE WAY
4903,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330142279 43.55833905600008),-116.33014227899997,43.55833905600008,4903 S WHITMORE WAY
4747,S,MUSTANG CREEK,LN,83709,LaGrande,POINT (-116.320501252 43.55982008000007),-116.32050125199999,43.559820080000065,4747 S MUSTANG CREEK LN
4841,S,MUSTANG CREEK,LN,83709,LaGrande,POINT (-116.320854243 43.55815448000004),-116.32085424299999,43.55815448000004,4841 S MUSTANG CREEK LN
4644,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.332890906 43.56036329800003),-116.33289090599999,43.56036329800003,4644 S WHITMORE WAY
